No of Bedrooms ,total_sqft,bath,No of balcony,site_location,price
2,1250,2,1,2,60
7,1500,6,0,2,210
4,2400,5,2,2,190
6,1150,6,2,2,75
3,1576,3,2,2,58
2,1200,2,2,2,52.5
2,919,2,2,2,34
2,1242,2,2,2,65
6,1200,4,1,2,110
2,913,2,1,2,36
2,883,2,1,2,45
3,1724,3,1,2,146
3,1741,3,2,2,80
6,600,6,3,2,100
3,1444,2,2,2,71.5
2,1395,2,0,2,75
4,600,4,3,2,125
4,2100,6,1,2,252
8,1200,8,2,2,225
1,600,1,0,2,47
3,1280,3,1,2,50
2,1258,2,0,2,58
3,1806,3,3,2,85
2,750,2,1,2,36.5
3,2600,3,2,2,147
3,1200,3,0,2,140
2,900,2,0,2,55
1,500,1,1,2,20
2,1089,2,1,2,49
2,1086,2,2,2,44.5
3,1512,3,2,2,103
3,7800,3,2,2,2000
3,1500,3,1,2,72.99
3,2000,2,0,2,180
2,1215,2,1,2,68
6,1680,4,1,2,250
3,2400,2,1,2,125
3,2210,3,3,2,165
3,1800,3,2,2,93
4,3122,6,2,2,245
4,2400,4,1,2,344
3,1600,2,1,2,90
3,1452,3,3,2,60
3,2275,4,2,2,185
2,900,2,1,2,72
2,1398,2,1,2,97
4,3270,4,3,2,205
2,1340,2,3,2,85
5,2800,3,2,2,425
3,1350,3,2,2,70
3,2650,4,0,2,175
1,500,1,1,2,33
2,984,2,1,2,45.91
3,1725,3,2,2,106
5,2250,5,0,2,240
2,1035,2,1,2,39
3,1220,2,1,2,35.23
3,1510,3,0,2,76.16
3,1345,2,1,2,57
4,623,4,1,2,75
2,1107.83,2,1,2,41.51
3,2400,2,3,2,50
3,1505,2,2,2,60
2,1220,2,2,2,62
2,560,2,1,2,22
2,1200,2,2,2,45
3,2750,5,2,2,550
2,1310,2,3,2,60
2,1315,2,3,2,55
3,1450,2,2,2,73
2,1220,2,1,2,55
2,1200,1,0,2,50
2,1150,2,1,2,45.99
2,1165,2,1,2,52
2,1160,2,2,2,49
2,925,2,1,2,35
3,1516,3,1,2,147
6,1500,6,1,2,300
3,1790,3,2,2,120
2,1112,2,1,2,58
3,1490,3,0,2,85
3,1440,2,3,3,62
2,1200,2,1,3,65
2,1200,2,2,3,60
2,1017,2,1,3,51.25
3,1629,3,2,3,79
5,500,3,2,3,65
3,1460,3,1,3,73
3,35000,3,3,3,130
9,600,9,3,3,190
5,900,3,2,3,80
2,1300,1,1,3,115
3,1662,3,3,3,85.1
2,1117,2,2,3,56
3,1535,3,1,3,78
3,1730,3,1,3,96
3,2197,4,3,3,280
3,1400,2,1,3,73
3,1200,2,1,3,34
3,1757,3,2,3,132
2,1200,2,1,3,125
4,1200,4,1,3,83
4,3555,4,1,3,230
4,1450,3,3,3,132
2,1010,2,2,3,46
2,1290,2,1,3,85
3,1800,3,3,3,90
3,2475,4,0,3,130
3,1776.42,3,2,3,105
2,1050,2,1,3,42
3,1455,2,2,3,56
3,1000,2,1,3,65
2,1128,2,1,3,65
4,3100,4,2,3,570
2,1000,2,2,3,22
2,1345,2,2,3,55
3,2400,2,0,3,50
3,1350,3,1,3,380
3,2500,3,2,3,425
1,900,1,0,3,175
2,1277,2,2,3,55
7,1200,8,2,3,110
2,1418,2,2,3,103
3,1200,4,0,3,145
2,1050,2,2,3,53.5
2,1340,2,1,3,77
3,1419,2,3,3,73
3,1891,3,1,3,109
4,2592,4,2,3,250
2,1050,2,3,3,40
2,1100,2,1,3,41.15
3,1583,3,3,3,76.1
3,1750,3,2,3,130
3,2466,1,0,3,226.5
2,972,2,2,3,40
2,966,2,1,3,49
2,1045,2,1,3,58
2,1033,2,1,3,52.58
2,900,2,1,3,41
2,1460,2,3,3,70
1,750,1,1,3,52.5
3,1732,3,1,3,85.73
3,1495,2,2,3,52.33
2,1148,2,1,3,56
4,2328,4,1,3,528
4,2100,4,1,3,90
3,1910,3,3,3,119
1,500,2,1,3,24
3,1176,2,1,3,35.27
4,3200,4,0,3,280
2,1020,2,2,3,60
3,1750,3,1,3,123
2,1125,2,1,3,32.49
2,950,2,2,3,38
3,1725,2,1,3,165
1,665,1,2,3,32
4,2400,4,3,3,250
3,1355,3,2,3,83.87
3,1240,4,1,3,180
4,1200,3,2,3,125
4,1100,4,2,3,220
2,1027,2,2,3,42
2,919,2,2,3,35
1,645,1,0,3,42.5
3,1613,3,0,3,150
2,1020,2,1,3,46
3,1280,2,1,3,100
2,1115,2,2,3,60
1,416,1,1,3,18
3,1491,3,1,3,88
3,1929,4,1,3,101
2,850,2,1,3,25.99
3,1770,3,2,3,90
2,1444,2,1,3,75.97
3,2025,4,2,3,115
3,1397,3,3,3,105
3,1738,3,0,3,110
2,1139,2,2,3,56.5
2,760,2,2,3,37.49
2,1155,2,2,3,39
4,3400,4,2,3,275
1,702,1,1,3,52
4,3000,1,0,3,246
2,1330,2,2,3,80
2,1152,1,0,3,66
2,1314,2,2,3,110
3,1100,2,1,3,75
3,1500,3,2,3,56
3,1464,2,2,3,115
2,850,2,1,3,25.4
4,2650,4,0,3,153.5
2,985,2,1,3,50.17
2,1000,2,0,3,70
2,770,1,1,3,38
2,1200,2,1,3,36
3,2200,3,2,3,275
7,3000,6,3,3,180
5,2000,5,2,3,240
2,1025,2,1,3,28.57
2,1200,2,1,3,45.84
3,1350,2,3,3,85
3,1776,3,2,3,150
3,1800,2,1,3,45
3,1426,2,2,3,61.5
3,1563,3,2,3,63
3,2150,3,0,3,170
2,1052,2,2,3,52
2,1194,2,2,3,46
4,750,4,2,3,125
3,1400,3,2,3,74
2,1100,2,1,3,41
4,2400,5,3,3,550
1,410,1,1,3,10
3,1768,3,3,3,81.31
2,1088,2,1,3,30.46
6,2400,6,2,3,475
4,1200,4,3,3,155
2,1300,2,0,3,72.76
2,1600,2,1,3,90
4,1917,4,2,3,130
3,1521,3,1,4,95
3,1200,3,1,4,90
2,1327,2,2,4,98
2,1027,2,2,4,44
3,1580,2,0,4,134
5,1200,5,2,4,190
0,2000,1,0,4,34.185
2,1355,2,2,4,115
2,820,2,1,4,30
2,1170,2,2,4,57
3,1440,2,3,4,68
3,1464,2,3,4,105
4,1200,4,3,4,120
2,1180,2,2,4,75
3,2195,4,2,4,127
3,3522,3,2,4,380
2,1192,2,1,4,71
3,2700,4,1,4,270
1,600,1,1,4,16.5
4,2690,4,3,4,191
2,1277,2,2,4,55
3,1270,2,2,4,70
3,1837,3,3,4,145
3,1875,3,3,4,110
3,2300,3,0,4,80
1,960,2,1,4,18
4,3000,1,0,4,260.5
4,900,4,3,4,175
2,1080,2,0,4,53.35
1,440,1,0,4,28
4,1200,3,2,4,188
2,1350,2,0,4,90
3,1515,3,3,4,65
4,1200,4,2,4,350
2,1110,2,2,4,41
1,613,1,0,4,32.79
4,4000,5,2,4,600
3,1512,2,2,4,110
3,1355,3,1,4,83.87
3,1521,3,1,4,94.71
2,1299,2,2,4,85
4,1896,3,1,4,125
2,1140,2,2,4,50
2,1251,2,1,4,88.73
3,2388,4,3,4,239
2,1200,2,1,4,55
2,1322,2,2,4,86
3,4470,3,0,4,700
2,1100,2,1,4,48
4,2100,4,1,4,95
2,700,2,1,4,34.98
3,1450,3,2,4,100
2,1100,2,1,4,45
3,1486,3,1,4,83.22
6,1350,6,3,4,160
4,3895,4,2,4,495
2,1390,2,2,4,65.31
4,1500,4,3,4,240
3,1690,3,2,4,85
5,4500,6,3,4,400
2,1290,2,2,4,80
2,1302,2,1,4,68.5
2,1000,2,1,4,36
7,600,7,3,4,110
4,672,3,1,4,54
3,1610,4,2,4,85
3,1250,3,3,4,50
3,1620,3,0,4,65
6,1680,6,1,4,125
6,1000,4,2,4,150
2,1050,2,2,4,42.7
3,1706,3,3,4,154
2,1000,1,0,4,90
2,1007,2,2,4,43
3,1665,3,0,4,110
6,3900,6,0,4,195
2,1040,2,3,4,45
3,1335,2,1,4,87
3,1700,3,2,4,150
4,3500,4,1,4,289
2,1002,2,1,4,40.08
2,1087,2,1,4,54.3
4,1200,3,1,4,180
4,6830,5,0,4,795
3,1700,3,2,4,77
3,1531,3,3,4,51.77
2,1215,2,1,4,45
2,1066,2,1,4,52.23
2,1250,2,2,4,95
2,1255,2,1,4,84
2,1180,2,2,4,60
3,3155,3,2,4,315
3,2003,3,3,4,200
2,1057,2,1,4,34.71
2,1175,2,2,4,47
3,1640,3,2,4,262
1,588,1,0,4,88.2
6,2400,6,0,4,480
1,700,1,0,4,35
3,1508,3,1,4,75
2,1020,2,1,4,42.83
2,1140,2,2,4,49.11
4,2330,5,1,4,175
4,1200,5,0,4,325
3,1250,3,2,4,40
2,750,2,1,4,40
6,1200,6,3,4,132
3,715,2,1,4,29
3,1842,3,2,4,115
4,1632,3,0,4,140
4,2830,4,3,4,161
1,1350,1,0,4,55
4,3930,5,2,4,330
8,4482,6,2,4,852
2,1305,2,2,4,52
4,1560,3,2,4,149
2,1416,2,2,4,67
2,1034,2,1,4,38
1,1090,2,1,4,31.48
3,1453,2,2,4,73
3,1767,3,2,4,89
3,1400,3,2,4,75
3,1885,3,2,4,135
4,1344,4,1,4,84
6,5100,5,3,4,300
3,1464,3,2,4,56
2,2400,2,1,4,125
1,540,1,0,4,22
4,2400,3,0,4,185
4,4723,4,3,4,500
2,1290,2,2,4,72
3,1482,3,1,4,110
2,1094,2,2,4,54
2,1234,2,2,4,80
2,1050,2,1,4,44.41
3,1810,3,2,4,97.83
3,1674,3,0,4,81
3,1648,3,2,4,85
3,1703,3,2,4,120
2,1200,2,1,5,51
3,2502,3,3,5,138
2,1186,2,2,5,58
2,1069,2,2,5,45
3,1826,3,2,5,121
3,1464,3,2,5,56
2,967,2,3,5,45
1,600,1,0,5,50
2,1160,2,0,5,59.935
2,1225,2,1,5,46.55
2,901,2,1,5,35.14
2,1234,2,2,5,80
2,1330,2,1,5,92.5
6,2200,6,2,5,68
3,1650,3,2,5,125
3,1240,2,2,5,46
2,1000,2,1,5,130
2,1100,2,2,5,50
4,2400,3,2,5,142
2,975,2,1,5,58
3,2479.13,3,1,5,215
2,585,1,0,5,70
4,1200,4,0,5,245
5,1200,6,0,5,137
4,3000,4,0,5,200
2,1036,2,3,5,39.35
4,2503,4,0,5,188
2,1194,2,2,5,47
2,1100,2,2,5,55
3,1500,3,2,5,97
7,7500,7,2,5,400
3,3875,3,2,5,864
4,1800,4,0,5,110
2,1140,2,2,5,49.11
2,750,2,1,5,36
3,1708,3,2,5,75
2,1100,2,0,5,68
4,3100,5,1,5,385
3,2145,4,1,5,270
2,1134,2,1,5,40
2,1330,2,1,5,78
1,605,1,1,5,40
2,1200,2,1,5,100
3,1600,2,2,5,115
2,1369.1,2,1,5,104
3,1800,3,3,5,65
3,1095,3,0,5,215
5,720,4,3,5,62
2,1012,2,1,5,59
3,1948,3,2,5,130
2,950,2,0,5,38
3,1810,3,2,5,126
2,1095,2,1,5,38.33
2,555,1,0,5,37
2,1300,2,2,5,75
1,440,1,0,5,19.8
2,1020,2,1,5,52
1,540,1,1,5,16.5
1,850,1,2,5,57
3,1475,3,3,5,78
3,1840,3,3,5,85
1,905,1,1,5,52
3,1293,2,2,5,85
2,660,1,1,5,15.5
8,800,6,3,5,110
2,1127,2,1,5,65
3,1480,2,1,5,58
3,2968,3,0,5,225
12,2232,6,2,5,300
3,1250,2,1,5,50
2,1027,2,1,5,60
3,1600,3,2,5,112
3,1240,2,2,5,59.52
3,1436,2,2,5,55
2,1145,2,1,5,54
2,1000,2,1,5,70.65
2,1350,2,2,5,68
2,1246,2,1,5,67.3
3,2134,4,2,5,118
7,2400,6,0,5,450
3,1220,2,1,5,36.21
3,1480,3,2,5,74
3,800,3,0,5,95
2,1290,2,0,5,90
1,661,1,1,5,40
4,11000,4,1,5,1600
2,1194,2,1,5,51
3,1730,3,1,5,93
3,1650,3,2,5,90.75
2,1035,2,1,5,31.05
4,5108,5,2,5,995
2,616,3,1,5,45
2,1100,2,2,5,70
3,3850,3,3,5,650
2,900,2,1,5,60
2,1205,2,1,5,56.58
2,700,2,1,5,35
2,800,2,2,5,32
2,1150,2,1,5,42
1,645,1,1,5,41
2,1340,2,1,5,65
3,900,3,1,5,79
3,1222,3,2,5,95
2,1110,2,2,5,44.95
2,1130,2,2,5,68
4,700,4,2,5,125
2,1000,2,0,5,66
3,1400,2,1,5,40.45
5,2600,5,3,5,370
2,1167,2,2,5,37.5
2,1140,2,3,5,60
4,3200,4,2,5,350
3,1355,3,2,5,54.2
3,1200,3,0,5,200
3,1740,3,3,5,80
3,1650,3,0,5,126
2,1145,2,2,5,46
3,1191,2,2,5,33.34
5,1500,5,2,5,210
2,1226,2,1,5,65
2,1293,2,2,5,80
2,1245,2,2,5,80
2,935,2,0,5,37.77
3,3000,3,2,5,400
3,1300,2,3,5,69
2,1000,2,2,5,45
3,1308,2,3,5,53
2,1200,2,2,5,42
3,850,3,0,5,63
2,820,2,2,5,37
4,3408,5,0,5,145
2,1200,2,1,5,68
3,1500,3,3,5,90
3,2140,3,2,5,139
2,1000,2,0,5,66
2,1084,2,1,5,51
5,1200,2,1,5,100
2,1100,2,2,5,32
2,1211,2,3,5,45
2,1170,2,1,6,38
2,650,1,1,6,17
3,1783,3,1,6,115
2,1349,2,1,6,98.2
2,1245,2,1,6,94
4,3600,4,3,6,400
1,540,1,1,6,36
7,1200,7,0,6,150
3,1779,3,2,6,89.61
2,1342,2,1,6,73.3
3,1725,3,3,6,200
3,1403,3,1,6,55
3,1937,3,2,6,160
2,1400,2,2,6,78
2,1200,2,0,6,71
2,1440,2,2,6,98
2,1297,2,2,6,103
2,1200,3,1,6,72
2,1240,2,1,6,44
3,675,3,2,6,72.5
3,1846,3,2,6,140
3,2045,4,3,6,154
2,1238,2,3,6,55
2,983,2,1,6,50.6
4,36100.33,4,0,6,270
3,1583,3,3,6,105
4,2524,5,2,6,190
2,1107,2,2,6,33
4,3200,4,1,6,205
3,1800,3,0,6,110
3,1700,2,3,6,100
3,1493,3,2,6,82
3,1445,2,3,6,40.31
4,3000,4,0,6,260.5
2,1156,2,2,6,49.5
3,1697,3,2,6,115
3,1350,2,1,6,87.01
3,1650,3,3,6,100
3,2475,4,3,6,300
2,995,2,1,6,34.82
3,1282,2,2,6,52.43
5,800,5,2,6,95
3,1532,3,2,6,83
2,1128,2,1,6,65.5
2,1355,2,3,6,75
2,990,2,1,6,40
4,3600,4,0,6,260
3,1656,3,2,6,150
4,1600,4,3,6,112
3,1464,3,2,6,56
2,1041,2,1,6,36.44
2,1246,2,1,6,62.3
3,3580,3,1,6,411
4,4830,5,1,6,390
5,4400,4,1,6,350
2,1100,2,3,6,62
1,894,1,0,6,34.735
2,1020,2,2,6,29.46
3,1843,3,2,6,82
4,2230,4,1,6,130
3,1917,4,2,6,100
2,1303,2,1,6,55.79
3,1200,2,0,6,66
3,1800,2,2,6,250
3,1200,3,1,6,150
3,1075,2,1,6,42
4,3300,4,2,6,329
2,1519,2,3,6,65
3,2010,3,3,6,125
3,1450,3,2,6,75
2,596,2,1,6,22
2,1200,2,0,6,90
4,600,4,2,6,125
6,4250,6,3,6,150
2,1185,2,2,6,41
2,907,2,2,6,38
4,4003,6,3,6,300
3,3890,1,0,6,237.5
2,1369.1,2,1,6,98
4,4200,4,0,6,800
2,1109,2,1,6,35.22
2,1180,2,2,6,52
2,800,2,1,6,80
2,1375,2,1,6,78
2,1280,2,2,6,60.16
2,620,1,1,6,23.5
3,1536,3,1,6,104
2,1205,2,1,6,63.86
2,1140,2,1,6,48.7
4,1200,5,2,6,270
3,2215,4,2,6,150
1,745,1,0,6,34.27
2,900,2,1,6,42
2,1044,2,2,6,34
3,2710,3,2,6,170
2,1009,2,1,6,30.27
1,1150,1,0,6,52
2,1180,2,1,6,71.22
3,1385,2,1,6,69.25
2,1046,2,1,6,60
2,1125,2,1,6,54.8
3,2648,3,3,6,238
3,4446,3,2,6,410
2,1116,2,1,6,47
6,1200,9,3,6,122
2,1300,2,2,6,66
3,1530,3,3,6,73
3,1625,2,2,6,48.75
2,1282,2,1,6,72
2,1276,2,2,6,80
5,3600,5,3,6,130
3,1717,3,2,6,110
8,3000,8,0,6,150
3,1300,3,1,6,69
2,680,1,1,6,21
3,1645,3,2,6,87
10,7200,10,3,6,200
3,1719,3,2,6,71
3,1660,3,2,6,104
4,784,2,2,6,165
2,1320,2,1,6,50
3,1495,2,1,6,63
2,1171,2,2,6,73
2,812,2,1,6,42
3,1875,2,1,6,110
3,2240,3,2,6,300
4,4250,4,2,6,610
5,1200,5,1,6,260
2,1000,2,1,6,35
4,3508,4,1,6,386
2,900,2,1,6,145
3,1938,3,3,6,113
3,1745,3,2,6,130
3,1584,3,2,6,101
2,1050,2,2,6,35
3,1500,3,2,6,85
3,1786,3,2,6,79.99
1,509,1,1,6,23
2,1310,2,2,6,53
4,2732,4,0,7,204
3,2400,2,1,7,150
3,1400,3,2,7,56
2,1005,2,1,7,50
2,1145,2,2,7,45.79
4,2000,4,2,7,99
1,715,1,2,7,46
3,1640,2,1,7,120
2,1105,2,2,7,58
2,1345,2,1,7,67
3,900,2,1,7,42
4,915,4,1,7,54.9
2,1128,2,1,7,65.49
1,500,1,1,7,25
2,1079,2,1,7,32.37
1,650,1,2,7,38
1,650,1,0,7,17.835
2,1269.72,2,2,7,68
10,750,10,0,7,90
4,1900,2,1,7,170
2,1100,2,0,7,106
3,1490,2,2,7,98
3,1405,2,2,7,59.01
2,1101,2,2,7,65
1,400,1,0,7,14
4,3300,4,0,7,150
2,1063,2,2,7,42
3,2319,3,2,7,180
2,1311,2,1,7,78
3,1525,3,2,7,96
3,1850,3,0,7,110
2,1098,2,1,7,43.91
3,1300,2,1,7,55
3,1250,2,1,7,55
2,1247,2,1,7,59.8
4,3537,5,3,7,210
3,1719,3,2,7,116
3,1875,3,1,7,55
2,1118,2,0,7,30
3,2760,5,2,7,157
3,1853,3,2,7,82
2,900,2,2,7,32.5
3,2776,4,2,7,195
3,1820,3,2,7,93
2,1150,2,2,7,65
2,1016,2,1,7,45
2,1045,2,1,7,36.58
2,985,2,1,7,49
2,1326,2,2,7,57
2,1210,2,2,7,45
2,1085,2,1,7,70
3,1420,3,2,7,85
3,900,4,3,7,155
2,850,2,1,7,75
3,1559,3,2,7,120
2,1113,2,1,7,50
2,1140,2,2,7,45
2,1194,2,1,7,71.64
3,1680,3,2,7,117
4,2200,5,1,7,100
2,1100,2,2,7,57
3,1350,3,0,7,71
2,1210,2,3,7,75
4,3100,4,3,7,550
4,2849,5,0,7,250
2,1155,2,1,7,51
3,1684,1,0,7,70.445
2,1345,2,2,7,106
2,1240,2,2,7,80
2,1200,2,2,7,80
4,3463,6,0,7,310
3,1755,3,3,7,101
2,1231,2,2,7,50
3,1645,3,2,7,117
3,1200,3,1,7,190
4,3500,4,0,7,138
3,2400,3,0,7,135
3,1385,3,1,7,55
3,600,3,1,7,69
3,1537,2,3,7,70
2,1002,2,1,7,40.08
3,2100,4,2,7,255
2,1350,2,1,7,90
2,985,2,2,7,57
5,1000,4,2,7,90
3,1605,2,2,7,65
2,1255,2,2,7,55.5
4,2500,5,2,7,175
4,1200,4,1,7,110
3,1650,3,2,7,101
2,1010,2,1,7,36
7,6500,7,1,7,104
3,1372,2,1,7,43.9
3,1695,3,2,7,125
3,1720,2,2,7,126
5,1200,4,3,7,240
3,1330,2,2,7,51.83
2,775,2,2,7,29.5
3,2061,4,2,7,175
10,1200,8,3,7,230
2,1160,2,1,7,40.53
5,5400,4,0,7,700
3,2100,3,1,7,135
2,1061,2,1,7,33.84
6,890,5,2,7,160
2,1301,2,1,7,120
2,1140,2,2,7,46
2,1065,2,1,7,30.76
2,800,2,1,7,40
2,1234,2,2,7,51
3,1410,2,3,7,44.42
2,700,2,1,7,34
4,2569,4,1,7,175
2,1330,2,1,7,93.65
2,1154,2,2,7,47
3,1748,3,0,7,103
3,1231,3,2,7,58
2,1035,2,1,7,39.33
2,1247,2,1,7,58.56
3,1168,2,1,7,68
2,1280,2,2,7,68.48
3,2000,2,2,7,275
2,1465,2,3,7,60
2,1200,2,1,7,70
3,1260,2,1,7,82
2,1150,2,1,7,38.08
3,1806,6,2,7,116
3,1837,2,2,7,95
3,1660,3,3,7,80
4,3700,4,2,7,400
2,1150,2,0,7,70
3,1166,2,2,7,34.97
7,2875,7,0,7,85
2,1175,2,2,7,50
4,600,5,0,7,110
3,1328,2,1,7,56
4,770,3,2,7,65.25
3,2265,3,3,7,159
2,1146,2,1,7,69
4,3300,4,0,8,600
2,1007,2,2,8,43
2,980,2,1,8,48
2,1417,2,3,8,75
2,825,2,1,8,33
2,1208,2,1,8,49
3,2500,3,2,8,313
5,1200,5,0,8,100
1,1000,2,1,8,93
3,1320,3,0,8,65
2,1060,2,1,8,55
6,3000,8,3,8,451
2,1053,2,1,8,45
4,4800,4,3,8,525
2,1085,2,1,8,36
1,764,1,1,8,32
3,1490,3,2,8,100
2,1266,2,2,8,59
2,1330,2,1,8,93.36
3,600,3,1,8,100
3,1690,3,0,8,75
7,6150,6,1,8,830
4,1690,3,2,8,80
2,1140,2,1,8,76
3,1340,2,3,8,53.6
2,1100,2,2,8,65
2,1077,2,1,8,37.7
3,1520,3,3,8,80
3,1608,3,1,8,67.98
2,1204,2,3,8,38.5
2,904,2,1,8,30
3,1900,2,1,8,170
2,989,2,0,8,60
3,1290,3,3,8,45.15
2,1058,2,2,8,60
1,615,1,1,8,28.29
1,664,1,1,8,35
3,1350,3,2,8,54
1,910,1,1,8,42
2,1325,1,1,8,92
2,861,2,1,8,35
1,750,2,0,8,50
3,1531,2,0,8,75
3,2072,4,2,8,159
3,1938,3,3,8,113
2,1100,2,0,8,39
3,1545,3,3,8,85
3,1999,3,2,8,135
3,1654,2,3,8,85
5,4000,5,2,8,220
2,1070,2,2,8,37
4,2658,5,3,8,187
3,1082,2,0,8,42
3,1282,3,2,8,178
2,1246,2,1,8,63
4,2774,4,3,8,208
1,670,1,1,8,36.85
8,1470,6,2,8,300
2,1047,2,1,8,84
2,900,2,0,8,65
3,1455,2,3,8,60
3,1380,2,2,8,95
2,1126,2,1,8,69
2,1500,2,0,8,50.58
2,1000,2,2,8,42
5,1280,3,1,8,250
2,1206,2,1,8,53
3,1594,3,2,8,99
2,1213,2,1,8,63
2,1140,2,2,8,58
3,1600,3,2,8,70
2,1200,2,1,8,50
2,1300,2,1,8,120
2,1200,2,0,8,58
3,1693,3,2,8,125
3,1395,2,3,8,79
3,1560,3,1,8,90
3,1578,3,1,8,73.9
3,1313,4,0,8,150
3,1230,2,2,8,53.51
